IATA,ICAO,Airline,Call sign,Country/Region,Comments
,ASI,"Aerosun International, Inc.",AEROSUN,United States,
,SUP,Aerosuper,AEROSUPER,Mexico,
5L,RSU,AeroSur,AEROSUR,Bolivia,
,AES,Aerosur Paraguay,AEROPARAGUAY,Paraguay,
VV,AEW,Aerosvit Airlines,AEROSVIT,Ukraine,defunct
,ATK,AeroTACA,AEROTACA,Colombia,"defunct, Aerotaxi Casanare"
,ART,Aerotal Aerolíneas Territoriales de Colombia Ltda.,AEROTAL,Colombia,
,CBO,Aerotaxi del Cabo,TAXI CABO,Mexico,
,AOX,Aerotaxi Del Valle,AEROVALLE,Colombia,
,GTP,Aerotaxi Grupo Tampico,GRUPOTAMPICO,Mexico,
,MXO,Aerotaxi Mexicano,MAXAERO,Mexico,
,ITE,Aerotaxi S.R.O.,AEROTAXI,Czech Republic,
,VRI,Aerotaxi Villa Rica,VILLARICA,Mexico,
,BTS,Aerotaxis Albatros,AEROLINEAS ALBATROS,Mexico,
,TXF,Aerotaxis Alfe,ALFE,Mexico,
,IMN,Aerotaxis Cimarron,TAXI CIMARRON,Mexico,
,GUA,Aerotaxis de Aguascalientes,AGUASCALIENTES,Mexico,
,BHC,Aerotaxis De La Bahia,BAHIA,Mexico,
,TXD,Aerotaxis del Noroeste,TAXI OESTE,Mexico,
,DML,Aerotaxis Dosmil,,Mexico,
,GMM,Aerotaxis Guamuchil,AEROGUAMUCHIL,Mexico,
,LTI,Aerotaxis Latinoamericanos,LATINO,Mexico,
,MTB,Aerotaxis Metropolitanos,AEROMETROPOLIS,Mexico,
,PSO,Aerotaxis Pegaso,AEROPEGASO,Mexico,
,AEP,Aerotec Escuela de Pilotos,AEROTEC,Spain,
,ATD,Aerotours Dominicana,AEROTOURS,Dominican Republic,
,CDU,Aerotrans,,Russia,
,AED,Aerotrans Airlines,,Russia,defunct
,ATG,Aerotranscargo[9],MOLDCARGO,Moldova,
,TCO,Aerotranscolombina de Carga,TRANSCOLOMBIA,Colombia,
,ANM,Aerotransportacion de Norteamerica,NORAM,Mexico,
6R,TNO,Aerotransporte de Carga Union,AEROUNION,Mexico,
,PET,Aerotransporte Petrolero,AEROPETRO,Colombia,
,CRP,Aerotransportes Corporativos,AEROTRANSCORP,Mexico,
,HUT,Aerotransportes Huitzilin,AEROHUITZILIN,Mexico,
,RRE,Aerotransportes Internacionales De Torreon,AERO TORREON,Mexico,
,PRI,Aerotransportes Privados,AEROPRIV,Mexico,"ICAO code in use by another company, call sign no longer allocated"
,PVA,Aerotransportes Privados,TRANSPRIVADO,Mexico,
,RFD,Aerotransportes Rafilher,RAFHILER,Mexico,
,TBL,Aerotrebol,AEROTREBOL,Mexico,
,TOC,Aerotropical,TROPICMEX,Mexico,
,RTU,Aerotucan,AEROTUCAN,Mexico,
,RAI,Aerotur Air,DIASA,Kazakhstan,
,TQS,Aeroturquesa,AEROTURQUESA,Mexico,
,ALL,Aerovallarta,VALLARTA,Mexico,
,AVY,"Aerovaradero, S.A.",AEROVARADERO,Cuba,
,VEG,Aerovega,AEROVEGA,Mexico,
,AEV,Aeroventas,AEROVENTAS,Mexico,
,VMX,Aeroventas de Mexico,VENTA,Mexico,2014[1]
,ABU,Aerovías Bueno,AEROBUENO,Colombia,defunct
,CBE,Aerovías Caribe,AEROCARIBE,Mexico,
,CLL,Aerovías Castillo,AEROCASTILLO,Mexico,
,DAP,Aerovías DAP,DAP,Chile,
,,Aerovías De Lagos,AEROLAGOS,Mexico,Was LAG
,GFO,Aerovías del Golfo,AEROVIAS GOLFO,Mexico,
,OVI,Aerovías Ejecutivas,VIAS EJECUTIVAS,Mexico,
,MZL,Aerovías Montes Azules,MONTES AZULES,Mexico,
,OVC,Aerovic,,Ecuador,
,VVG,Aerovilla,AEROVILLA,Colombia,
,VIZ,Aerovis Airlines,AEROVIZ,Ukraine,
,AAP,Aerovista Airlines,AEROVISTA GROUP,Kyrgyzstan,defunct
,VGF,Aerovista Gulf Express,VISTA GULF,United Arab Emirates,
,VRO,Aerovitro,AEROVITRO,Mexico,
,VUO,Aerovuelox,AEROVUELOX,Mexico,
,AWY,"Aeroway, S.L.",AEROWEE,Spain,
,AWP,Aeroworld Pakistan,,Pakistan,
,RXT,Aeroxtra,AERO-EXTRA,Mexico,
,DST,Aex Air,DESERT,United States,
,FAN,AF-Air International,FANBIRD,Angola,
,AJA,Afghan Jet International Airlines,AFGHAN JET,Afghanistan,
,KIE,Afit,TWEETY,Germany,
,UAG,Afra Airlines,AFRALINE,Ghana,
,AAX,Afric'air Express,AFREX,Côte d'Ivoire,defunct
,AFK,Africa Air Links,AFRICA LINKS,Sierra Leone,
,GIZ,Africa Airlines,AFRILENS,Guinea,
VJ,AFF,Africa Airways,AFRIWAYS,Benin,defunct
,AFY,Africa Chartered Services,AFRICA CHARTERED,Nigeria,
,AFZ,Africa Freight Services,AFREIGHT,Zambia,
,CFR,Africa One,,Democratic Republic of the Congo,defunct
,AZL,Africa One,SKY AFRICA,Zambia,defunct
FK,WTA,Africa West,WEST TOGO,Togo,
AW,AFW,Africa World Airlines,BLACKSTAR,Ghana,
,FFB,Africair Service,FOXTROT FOXTROT,Senegal,
,AIK,African Airlines International Limited,AFRICAN AIRLINES,Kenya,
,ABB,African Business and Transportations,AFRICAN BUSINESS,Democratic Republic of the Congo,
,ACB,African Cargo Services,AFRICARGO,Kenya,
,FPY,African Company Airlines,AFRICOMPANY,Democratic Republic of the Congo,
,AXK,African Express Airways,EXPRESS JET,Kenya,Former IATA code: QA; former ICAO code: AEK; former callsign: AFRICAN EXPRESS
,AFN,African International Airlines,SIMBA,Lesotho,
,AIN,African International Airways,FLY CARGO,Eswatini,
,GIL,African International Transport,AFRICAN TRANSPORT,Guinea,
,FDS,African Medical and Research Foundation,FLYDOC,Kenya,
QS,QSC,African Safari Airways,ZEBRA,Kenya,
,ASG,African Star Airways (PTY) Ltd.,AFRICAN STAR,South Africa,
ML,ETC,African Transport Trading and Investment Company,TRANATTICO,Sudan,
,AFC,African West Air,AFRICAN WEST,Senegal,
RV*,AFI,Africaone,AFRICAWORLD,The Gambia,
,FRJ,Afrijet Airlines,AFRIJET,Nigeria,
,FRK,Afrika Aviation Handlers,AFRIFAST,Kenya,
Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia,"defunct, ICAO code no longer allocated"
8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya,
,NFS,Afrique CArgo Service Senegal,,Senegal,
,FRQ,Afrique Chart'air,CHARTER AFRIQUE,Cameroon,
,AFW,Afrique Regional Airways,AFRAIR,Côte d'Ivoire,defunct
,AOR,Afro International Ent. Limited,INTER-AFRO,Nigeria,
,AGA,AG Air,GEOLINE,Georgia,
,ZZM,Agence Nationale des Aerodromes et de la Meteorologie,,Ivory Coast,
GSV,Agrocentr-Avia,AGRAV,Kazakhstan,,
,GRR,Agroar - Trabalhos Aéreos,AGROAR,Portugal,
,AGZ,Agrolet-Mci,AGROLET,Slovakia,
,GME,Aguilas Mayas Internacional,MAYAN EAGLES,Guatemala,
,AHS,AHS Air International,HIGH SKY,Pakistan,
,AED,Aie Experience Flight,AIE EXPERIENCE,United Kingdom,defunct
ZI,AAF,Aigle Azur,AIGLE AZUR,France,Former name: Lucas Aigle Azur; former IATA code: LK
,AAM,Aim Air,,Moldova,
,BRM,Air 500,BOOMERANG,Canada,defunct
DP,AMM,Air 2000,JETSET,United Kingdom,defunct
9T,RUN,Air ACT,CARGO TURK,Turkey,
,RDM,Air Ada,AIR ADA,Mauritania,
,AHR,Air Adriatic,ADRIATIC,Croatia,defunct
,FTC,Air Affaires Tchad,AFFAIRES TCHAD,Chad,
,RKA,Air Afrique,AIRAFRIC,Ivory Coast,
,AFV,Air Afrique Vacancies,AFRIQUE VACANCE,Côte d'Ivoire,
ZB,ABN,Air Albania,AIR ALBANIA,Albania,
,LFA,Air Alfa,,Turkey,
AH,DAH,Air Algérie,AIR ALGERIE,Algeria,
,RLZ,Air Alize,ALIZE,France,
3J,AAQ,Air Alliance,LIAISON,Canada,defunct
,ALM,Air ALM,ANTILLEAN,Netherlands Antilles,defunct
QB,AAJ,Air Alma,AIR ALMA,Canada,Ceased operations 10/01/2002; former IATA code: 4L
,LMY,Air Almaty,AGLEB,Kazakhstan,
,LMZ,Air Almaty ZK,ALUNK,Kazakhstan,
,DBA,Air Alpha,DOUBLE-A,United States,
GD,AHA,Air Alpha Greenland,AIR ALPHA,Denmark,sold to Air Greenland
A6,LPV,Air Alps Aviation,ALPAV,Austria,
,MMD,Air Alsie,MERMAID,Denmark,
,AMY,Air Ambar,AIR AMBAR,Dominican Republic,
,ABZ,Air Ambulance Services,ISLAND LIFEFLIGHT,Bahamas,
,RMD,Air Amder,AIR AMDER,Mauritania,
,RUD,Air Anastasia,ANASTASIA,Ukraine,
,NTL,Air Anatolia,AIR ANATOLIA,Turkey,defunct
,ASN,Air and Sea Transport,,Russia,
2Y,ADW,Air Andaman,AIR ANDAMAN,Thailand,defunct 2004
WP,ATW,Air Antwerp,DEVIL,Belgium,defunct
G9,ABY,Air Arabia,ARABIA,United Arab Emirates,
3L,ADY,Air Arabia Abu Dhabi,Nawras [6][7],United Arab Emirates,
E5,RBG,Air Arabia Egypt,ARABIA EGYPT,Egypt,
3O,MAC,Air Arabia Maroc,ARABIA MAROC,Morocco,This ICAO designator was previously used by Malta Air Charter
,RHL,Air Archipels,ARCHIPELS,France,
QN,ARR,Air Armenia,AIR ARMENIA,Armenia,
KC,KZR,Air Astana,ASTANALINE,Kazakhstan,
KC,KZR,Air Astana,SPAKAZ,Kazakhstan,
,EUK,Air Atlanta Europe,SNOWBIRD,United Kingdom,defunct
CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland,
,ANI,Air Atlantic (Nig) Limited,NIGALANTIC,Nigeria,
,ADC,Air Atlantic Dominicana,ATLAN-DOMINICAN,Dominican Republic,defunct
,AUM,Air Atlantic Uruguay,ATLAMUR,Uruguay,
KI,AAG,Air Atlantique,ATLANTIC,United Kingdom,"Former name: Atlantic Air Transport; former IATA codes: 7M, DG, transferred to Atlantic Flight Training in 2014."
,OUL,Air Atonabee,CITY EXPRESS,Canada,defunct
,AAI,Air Aurora,BOREALIS,United States,Former IATA code: AX
UU,REU,Air Austral,REUNION,France,
,BFF,Air Baffin,AIR BAFFIN,Canada,renamed to Air Nunavut
W9,JAB,Air Bagan,AIR BAGAN,Myanmar,
,BTI,Air Baltic,Air Baltic,Latvia,
BT,BTI,Air Baltic,AIRBALTIC,Latvia,
,LZP,Air Ban,DOC AIR,Bulgaria,
,BDM,Air Bandama,BANDAMA,Ivory Coast,
B9,BGD,Air Bangladesh,AIR BANGLA,Bangladesh,defunct
,BBT,Air Bashkortostan,AGYDAL,Russia,defunct
ZX,ABL,Air BC,AIRCOACH,Canada,Merged into Air Canada Jazz
AB,BER,Air Berlin,AIR BERLIN,Germany,defunct
BP,BOT,Air Botswana,BOTSWANA,Botswana,
ZB,BUB,Air Bourbon,BOURBON,Reunion,defunct
,BRL,Air Brasd'or,BRASD'OR,Canada,
,BRF,Air Bravo,AIR BRAVO,Uganda,
,ABT,Air Brousse,AIR BROUSSE,Canada,defunct
2J,VBW,Air Burkina,BURKINA,Burkina Faso,
8Y,PBU,Air Burundi,AIR-BURUNDI,Burundi,
BX,ABL,Air Busan,AIR BUSAN,South Korea,
,MSC,Air Cairo,,Egypt,
,ACM,Air Caledonia,WEST CAL,Canada,
TY,TPC,Air Calédonie,AIRCAL,France,
SB,ACI,Air Caledonie International,AIRCALIN,France,
AC,ACA,Air Canada,AIR CANADA,Canada,
QK,JZA,Air Canada Jazz,JAZZ,Canada,
RV,ROU,Air Canada Rouge,ROUGE,Canada,
TX,FWI,Air Caraïbes,FRENCH WEST,France,
,CAJ,Air Caraibes Atlantique,CAR LINE,France,
,CMF,Air Care Alliance,COMPASSION,United States,
,MVM,Air Cargo America,PEGASUS,United States,
,CGB,Air Cargo Belize,CARGO BELIZE,Belize,
2Q,SNC,Air Cargo Carriers,NIGHT CARGO,United States,
,GRI,Air Cargo Center,,São Tomé and Príncipe,
,TDG,Air Cargo Express,TURBO DOG,United States,
,PFT,Air Cargo Express International,PROFREIGHT,United States,
6U,ACX,Air Cargo Germany,LOADMASTER,Germany,defunct
,RNR,Air Cargo Masters,RUNNER,United States,
,ACH,Air Cargo Plus,AIR PLUS,Liberia,
,ACU,Air Cargo Transportation System,AFRISPIRIT,Kenya,
,FCI,Air Carriers,FAST CHECK,United States,
,RCI,Air Cassai,AIR CASSAI,Angola,
,RAP,Air Center Helicopters,RAPTOR,United States,
,ABS,Air Central,AIR CENTRAL,United States,defunct
NV,CRF,Air Central,AIR CENTRAL,Japan,Ceased operations 2010
,AAT,Air Central Asia,,Kyrgyzstan,
,ACS,Air Cess,,Liberia,defunct
AE,AE,Air Ceylon,,Sri Lanka,defunct
,NGF,Air Charity Network,ANGEL FLIGHT,United States,Re-allocated in 2014 was used by Angel Flight America[4]
,ACE,Air Charter Express,,Ghana,
,CHV,Air Charter Professionals,CHARTAIR,United States,
,EDC,Air Charter Scotland,SALTIRE,United Kingdom,Previously: Edinburgh Air Charter
,ACV,Air Charter Service,,United Kingdom,ICAO code no longer allocated
,CHR,Air Charter Services,ZAIRE CHARTER,Democratic Republic of the Congo,
,XAC,Air Charter World,,United States,
,ACX,Air Charters,PARAIR,Canada,defunct
,RCC,Air Charters Eelde,RACER,Netherlands,ICAO code and call sign no longer allocated
CV,CVA,Air Chathams,CHATHAM,New Zealand,
CA,CCA,Air China,AIR CHINA,China,
,CAO,Air China Cargo,AIRCHINA FREIGHT,China,
,CNM,Air China Inner Mongolia,MENGYUAN,China,
4F,ECE,Air City,AIRCITY,Germany,
QD,QCL,Air Class Líneas Aéreas,ACLA,Uruguay,
,ASS,"Air Class, S.A. de C.V.",AIR CLASS,Mexico,
,CBS,Air Columbus,AIR COLUMBUS,Ukraine,
GG,HAH,Air Comores International,AIR COMORES,Comoros,
,KGD,Air Concorde,CONCORDE AIR,Bulgaria,
,CNU,Air Consul,AIR CONSUL,Spain,
,NAR,Air Continental Inc,NIGHT AIR,United States,
,CPV,Air Corporate,AIRCORPORATE,Italy,
QC,CRD,Air Corridor,AIR CORRIDOR,Mozambique,defunct
XK,CCM,Air Corsica,CORSICA,France,
LB,LEP,Air Costa,LECOSTA,India,
,VRE,Air Côte d'Ivoire,COTE DIVORIE,Ivory Coast,
,CRQ,Air Creebec,CREE,Canada,
,CRJ,Air Cruzal,AIR CRUZAL,Angola,
H9,HAD,Air d'Ayiti,HAITI AVIA,Haiti,
,AFS,Air Data,,United Kingdom,
,UCK,Air Division of the Eastern Kazakhstan Region,GALETA,Kazakhstan,
,DJU,Air Djibouti,AIR DJIB,Djibouti,defunct
EN,DLA,Air Dolomiti,DOLOMITI,Italy,
,DLA,Air Dolomiti,DOLOMITI,Italy,
,ADT,Air Dorval,AIR DORVAL,Canada,defunct
KD,AEN,Air Enterprise,AIR ENTERPRISE,France,defunct
,EET,Air Este,AESTE,Spain,
UX,AEA,Air Europa,EUROPA,Spain,
PE,AEL,Air Europe Italy,AIR EUROPE,Italy,defunct
,VAE,Air Evans,AIR-EVANS,Spain,Ecuela de Pilotos Privados
,EVE,Air Evex,SUNBEAM,Germany,
,XLL,Air Excel,TINGA-TINGA,Tanzania,
,EXG,Air Exchange,EXCHANGE,United States,
,IVE,Air Executive,COMPANY EXEC,Spain,
,XEC,Air Executive Charter,,Germany,
XT,AXL,Air Exel,EXEL COMMUTER,Netherlands,defunct
,UAH,"Air Experience Flight, Cranwell",,United Kingdom,Royal Air Force
,AXD,Air Express,AIR SUDEX,Sudan,
,AEJ,Air Express,KHAKI EXPRESS,Tanzania,
,AEQ,Air Express,LUNA,Sweden,
,FLD,Air Falcon,,Pakistan,
,AVG,Air Falcon,DJIBOUTI FALCON,Djibouti,
,AFH,Air Fecteau,FECTO,Canada,defunct
PC,FAJ,Air Fiji,FIJIAIR,Fiji,defunct
OF,FIF,Air Finland,AIR FINLAND,Finland,
QH,FLA,Air Florida,PALM,United States,relaunching
GS,UPA,Air Foyle,FOYLE,United Kingdom,"defunct, ICAO code no longer allocated"
AF,AFR,Air France,AIRFRANS,France,
,FMT,Air Fret De Mauritanie,,Mauritania,
,ABN,Air Fret Senegal,,Senegal,
GN,AGN,Air Gabon,GOLF NOVEMBER,Gabon,defunct
,GLL,Air Gemini,TWINS,Angola,
DA,GRG,Air Georgia,AIR GEORGIA,Georgia,
ZX,GGN,Air Georgian,GEORGIAN,Canada,
,GHN,Air Ghana,AIR GHANA,Ghana,
7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland,
,CGW,Air Great Wall,CHANGCHENG,China,defunct
GL,GRL,Air Greenland,GREENLAND,Greenland,
,AGM,Air Guam,AIR GUAM,United States,
2U,GIP,Air Guinee Express,FUTURE EXPRESS,Guinea,
GG,GUY,Air Guyane,GREEN BIRD,French Guiana,
3S,GUY,Air Guyane Express,GREEN BIRD,French Guiana,
,HJA,Air Haiti,AIRHAITI,Haiti,
,AHO,Air Hamburg,AIR HAMBURG,Germany,
HD,HLN,Air Holland,ORANGE,Netherlands,defunct
LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong,
8C,HZT,Air Horizon,HORIZON TOGO,Togo,
,TPK,Air Horizon,TCHAD-HORIZON,Chad,
,AHN,Air Hungaria,AIR HUNGARIA,Hungary,
NY,FXI,Air Iceland,FAXI,Iceland,
,AIL,Air Illinois,AIR ILLINOIS,United States,defunct
KJ,AIH,Air Incheon,AIR INCHEON,South Korea,
IX,AXB,Air India Express,EXPRESS INDIA,India,
AI,AIC,Air India Limited,AIRINDIA,India,
9I,LLR,Air India Regional,ALLIED,India,
,AII,Air Integra,INTEGRA,Canada,
,ICM,Air Inter Cameroun,INTER-CAMEROUN,Cameroon,
,AIG,Air Inter Gabon,,Gabon,
,NTV,Air Inter Ivoire,INTER-IVOIRE,Ivory Coast,
,NSK,Air Intersalonika,INTERSALONIKA,Greece,
,AIE,Air Inuit,AIR INUIT,Canada,
IG,AEY,Air Italy,AIR ITALY,Italy,merged into Meridiana
,MQT,Air ITM,MUSKETEER,France,
VU,VUN,Air Ivoire,AIRIVOIRE,Ivory Coast,defunct
,LJA,Air Jamahiriya Company,AIR JAMAHIRIYA,Libya,ICAO code no longer allocated
JM,AJM,Air Jamaica,JAMAICA,Jamaica,merged into Caribbean Airlines; ICAO and IATA codes no longer used.
,JMX,Air Jamaica Express,JAMAICA EXPRESS,Jamaica,
NQ,AJX,Air Japan,AIR JAPAN,Japan,
,AJU,Air Jetsul,AIRJETSUL,Portugal,
4A,AKL,Air Kiribati,,Kiribati,
,KAD,Air Kirovograd,AIR KIROVOGRAD,Ukraine,
,KSI,Air Kissari,KISSARI,Angola,
,KLD,Air Klaipėda,AIR KLAIPEDA,Lithuania,
,KRT,Air Kokshetau,KOKTA,Kazakhstan,ICAO code no longer allocated
,AKA,Air Korea Co. Ltd.,,Republic of Korea,
JS,KOR,Air Koryo,AIR KORYO,Democratic People's Republic of Korea,
,KFT,Air Kraft Mir,AIR KRAFT MIR,Uzbekistan,
,KAV,Air Kufra,AIRKUFRA,Libya,
QH,LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan,Name changed from Kyrgyzstan
,UED,Air LA,AIR L-A,United States,
,LZR,Air Lazur,LAZUR BEE-GEE,Bulgaria,
FL,LPA,Air Leap,LEAP,Sweden,[10]
,RLL,Air Leone,AEROLEONE,Sierra Leone,
IJ,LIB,Air Liberté,LIBERTE,France,defunct
,TLR,Air Libya Tibesti,AIR LIBYA,Libya,
,IFI,Air Lift,HELLAS LIFT,Greece,
,ALN,Air Lincoln,CHICAGO LINCOLN,United States,
TT,KLA,Air Lithuania,KAUNAS,Lithuania,defunct
,LIV,Air Livonia,LIVONIA,Estonia,defunct
,ALG,Air Logistics,AIRLOG,United States,
LK,LXR,Air Luxor,AIRLUXOR,Portugal,ICAO code no longer allocated
L8,LXG,Air Luxor GB,LUXOR GOLF,Guinea-Bissau,
,ALU,Air Luxor STP,LUXORJET,São Tomé and Príncipe,
NX,AMU,Air Macau,AIR MACAO,Macao,
,KAM,Air Mach,ICO-AIR,Italy,
MD,MDG,Air Madagascar,AIR MADAGASCAR,Madagascar,
,MLN,Air Madeleine,AIR MADELEINE,Canada,
NM,DRD,Air Madrid,ALADA AIR,Spain,defunct
QM,AIM,Air Malawi,MALAWI,Malawi,defunct
L6,AMI,Air Maldives,AIR MALDIVES,Maldives,defunct
L9,MLI,Air Mali,AIR MALI,Mali,defunct
,KLB,Air Mali International,TRANS MALI,Mali,
KM,AMC,Air Malta,AIR MALTA,Malta,
,EFC,Air Mana,FLIGHT TAXI,France,
,MBB,Air Manas,AIR MANAS,Kyrgyzstan,
,MRY,Air Marine,AIR MARINE,France,
,MKH,Air Marrakech Service,AIR MARRAKECH,Morocco,
CW,CWM,Air Marshall Islands,AIR MARSHALLS,Marshall Islands,
MR,MRT,Air Mauritanie,MIKE ROMEO,Mauritania,
MK,MAU,Air Mauritius,AIRMAURITIUS,Mauritius,
,RMX,Air Max,AEROMAX,Bulgaria,
,AZX,Air Max Africa,AZIMA,Gabon,defunct
,MCD,Air Medical,AIR MED,United Kingdom,
MV,RML,Air Mediterranean,HELLASMED,Greece,
ML,BIE,Air Mediterranee,MEDITERRANEE,France,defunct
P8,MKG,Air Mekong,MEKONG,Vietnam,defunct
E9,MHS,Air Memphis,AIR MEMPHIS,Egypt,defunct
,MHU,Air Memphis,MEPHIS UGANDA,Uganda,
,MCB,Air Mercia,WESTMID,United Kingdom,
,MEF,Air Meridan,EMPENNAGE,Nigeria,
,MTK,Air Metack,AIRMETACK,Angola,
ZV,AMW,Air Midwest,AIR MIDWEST,United States,defunct
,VTY,Air Midwest (Nigeria),VICTORY,Nigeria,
,AMG,Air Minas Linhas Aéreas,AIR MINAS,Brazil,defunct
MC,RCH,Air Mobility Command,REACH,United States,United States Air Force
9U,MLD,Air Moldova,AIR MOLDOVA,Moldova,
,MOC,Air Monarch Cargo,MONARCH CARGO,Mexico,
,MTY,Air Montegomery,MONTY,United Kingdom,ICAO code no longer allocated
ZQ,MNE,Air Montenegro,MOUNT EAGLE,Montenegro,
,AMO,Air Montreal (Air Holdings Inc.),AIR MONTREAL,Canada,
,TAH,Air Moorea,AIR MOOREA,France,defunct
,AMS,Air Muskoka,AIR MUSKOKA,Canada,
SW,NMB,Air Namibia,NAMIBIA,Namibia,
,NPR,Air Napier,,New Zealand,
,ANB,Air Navigation And Trading Co. Ltd.,AIR NAV,United Kingdom,Former ICAO code: AAT
,RLK,Air Nelson,,New Zealand,defunct
,NPL,Air Nepal International,AIR NEPAL,Nepal,defunct
,WDR,Air Net Private Charter,WIND RIDER,United States,
,ANV,Air Nevada,AIR NEVADA,United States,
NZ,ANZ,Air New Zealand,NEW ZEALAND,New Zealand,"""NZ"" used by New Zealand National Airways Corporation until its merger with Air New Zealand in 1978"
TE,,,,,"""TE"" used by TEAL from 1940-1965, then Air New Zealand from 1965-1990"
,NER,Air Newark,NEWAIR,United States,
,NXA,Air Next,BLUE-DOLPHIN,Japan,
,DBD,Air Niagara Express,AIR NIAGARA,Canada,
,AWN,Air Niamey,AIR NIAMEY,Niger,
,NGP,Air Nigeria,REGAL EAGLE,Nigeria,defunct
EL,ANK,Air Nippon,ANK AIR,Japan,"merged into All Nippon Airways, ICAO code no longer allocated"
EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan,merged into ANA Wings
PX,ANG,Air Niugini,NIUGINI,Papua New Guinea,
4N,ANT,Air North Charter - Canada,AIR NORTH,Canada,
YW,ANE,Air Nostrum,AIR NOSTRUM,Spain,
,HMT,Air Nova,HAMILTON,United Kingdom,ICAO code no longer allocated
,CYL,Air One Cityliner,CITYLINER,Italy,
,AOE,Air One Executive,,Italy,
,ONR,Air One Nine,EDER,Libya,ICAO code no longer allocated
,ONT,Air Ontario,ONTARIO,Canada,
,PCK,Air Pack Express,AIRPACK EXPRESS,Spain,
,PLL,Air Pal,AIRPAL,Spain,Escuela De Pilots
,PCS,Air Palace,AIR PALACE,Mexico,
,PBT,Air Parabet,PARABET,Bangladesh,
AD,PRZ,Air Paradise International,RADISAIR,Indonesia,Defunct 2005
,APA,Air Park Aviation Ltd.,CAN-AM,Canada,
,ACG,Air Partner,AIR PARTNER,United Kingdom,
,SDE,Air Partners Corp.,STAMPEDE,Canada,
,APG,Air People International,AIR PEOPLE,Thailand,
2P,GAP,Air Philippines,ORIENT PACIFIC,Philippines,
,PNK,Air Pink,AIRPINK,Serbia,
,APV,Air Plan International,AIR PLAN,Democratic Republic of the Congo,
,LMP,Air Plus Argentina,AIR FLIGHT,Argentina,
A7,MPD,Air Plus Comet,RED COMET,Spain,
,AEI,Air Poland,POLISH BIRD,Poland,defunct
,PLM,Air Pullmantur,PULLMANTUR,Spain,
,AQN,Air Queensland,BUSHAIR,Australia,defunct
GZ,RAR,Air Rarotonga,AIR RAROTONGA,Cook Islands,
,ARZ,Air Resorts,AIR RESORTS,United States,
,RBV,Air Roberval,AIR ROBERVAL,Canada,
,ARC,Air Routing International Corp.,,United States,
,RUM,Air Rum,AIR RUM,Sierra Leone,
,SRI,Air Safaris and Services,AIRSAFARI,New Zealand,
S2,RSH,Air Sahara,SAHARA,India,renamed to Jetlite
,SGA,Air Saigon,AIR SAIGON,Vietnam,
,LOU,Air Saint Louis,AIR SAINTLOUIS,Senegal,
PJ,SPM,Air Saint Pierre,SAINT-PIERRE,France,
2O,RNE,Air Salone,AIR SALONE,Sierra Leone,
,SND,Air Samarkand,ARSAM,Uzbekistan,
,SJN,Air San Juan,SAN JUAN,United States,
,SNY,Air Sandy,AIR SANDY,Canada,
EX,SDO,Air Santo Domingo,AERO DOMINGO,Dominican Republic,
KY,EQL,Air São Tomé and Príncipe,EQUATORIAL,São Tomé and Príncipe,defunct
,ASJ,Air Satellite,SATELLITE,Canada,defunct
,ASF,"Air Schefferville, Inc.",SCHEFF,Canada,
,SCU,Air Scorpio,SCORPIO UNIVERS,Bulgaria,
,GRE,Air Scotland,GREECE AIRWAYS,Greece,
HC,SZN,Air Senegal,AIR SENEGAL,Senegal,
V7,SNG,Air Senegal International,AIR SENEGAL,Senegal,defunct
RS,ASV,Air Seoul,AIR SEOUL,South Korea,
JU,ASL,Air Serbia,AIR SERBIA,Serbia,Name changed from Aeroput to JAT Yugoslav Airlines to Jat Airways to Air Serbia. Formerly used JAT as ICAO code.
M3,SPJ,Air Service,AIR SKOPJE,Macedonia,
,RCX,Air Service Center,SERVICE CENTER,Italy,
G8,AGB,Air Service Gabon,,Gabon,defunct
,DEG,Air Service Groningen,DEGGER,Netherlands,ICAO code and call sign no longer allocated
,BNJ,Air Service Liège (ASL),JET BELGIUM,Belgium,
HM,SEY,Air Seychelles,SEYCHELLES,Seychelles,
BM,,Air Sicilia,,Italy,defunct
4D,ASD,Air Sinai,,Egypt,
4D,ASD,Air Sinai,AIR SINAI,Egypt,
GM,SVK,Air Slovakia,SLOVAKIA,Slovakia,ICAO code no longer allocated
,SFB,Air Sofia,AIR SOFIA,Bulgaria,defunct
,SOE,Air Soleil,AIR SOLEIL,Mauritania,
,LKY,Air Solutions,LUCKY,United States,
,RSM,Air Somalia,AIR SOMALIA,Somali Republic,
,WHY,Air Sorel,AIR SOREL,Canada,
,KKB,Air South,KHAKI BLUE,United States,
,PIE,Air South West,PIRATE,United Kingdom,
SZ,WOW,Air Southwest,SWALLOW,United Kingdom,defunct
,ASW,Air Southwest Ltd.,AIRSOUTHWEST,Canada,defunct
,ASX,Air Special,AIRSPEC,Czech Republic,
,AMR,Air Specialties Corporation,AIR AM,United States,"Air American, Total Air"
